"variable","variable_label","value","value_label"
"F600","Wie attraktiv finden Sie die BKW als Arbeitgeberin?",1,"1 - Überhaupt nicht attraktiv"
"F600","Wie attraktiv finden Sie die BKW als Arbeitgeberin?",2,"2"
"F600","Wie attraktiv finden Sie die BKW als Arbeitgeberin?",3,"3"
"F600","Wie attraktiv finden Sie die BKW als Arbeitgeberin?",4,"4"
"F600","Wie attraktiv finden Sie die BKW als Arbeitgeberin?",5,"5"
"F600","Wie attraktiv finden Sie die BKW als Arbeitgeberin?",6,"6"
"F600","Wie attraktiv finden Sie die BKW als Arbeitgeberin?",7,"7 - Sehr attraktiv"
"F800_1","Sicherheit und langfristige Stabilität des Arbeitgebers",1,"Überhaupt nicht gut  1"
"F800_1","Sicherheit und langfristige Stabilität des Arbeitgebers",2,"2"
"F800_1","Sicherheit und langfristige Stabilität des Arbeitgebers",3,"3"
"F800_1","Sicherheit und langfristige Stabilität des Arbeitgebers",4,"4"
"F800_1","Sicherheit und langfristige Stabilität des Arbeitgebers",5,"5"
"F800_1","Sicherheit und langfristige Stabilität des Arbeitgebers",6,"6"
"F800_1","Sicherheit und langfristige Stabilität des Arbeitgebers",7,"Sehr gut  7"
"F800_2","Karriere- und Entwicklungsmöglichkeiten",1,"Überhaupt nicht gut  1"
"F800_2","Karriere- und Entwicklungsmöglichkeiten",2,"2"
"F800_2","Karriere- und Entwicklungsmöglichkeiten",3,"3"
"F800_2","Karriere- und Entwicklungsmöglichkeiten",4,"4"
"F800_2","Karriere- und Entwicklungsmöglichkeiten",5,"5"
"F800_2","Karriere- und Entwicklungsmöglichkeiten",6,"6"
"F800_2","Karriere- und Entwicklungsmöglichkeiten",7,"Sehr gut  7"
"F800_3","Sinnvolle Tätigkeit und gesellschaftlicher Beitrag",1,"Überhaupt nicht gut  1"
"F800_3","Sinnvolle Tätigkeit und gesellschaftlicher Beitrag",2,"2"
"F800_3","Sinnvolle Tätigkeit und gesellschaftlicher Beitrag",3,"3"
"F800_3","Sinnvolle Tätigkeit und gesellschaftlicher Beitrag",4,"4"
"F800_3","Sinnvolle Tätigkeit und gesellschaftlicher Beitrag",5,"5"
"F800_3","Sinnvolle Tätigkeit und gesellschaftlicher Beitrag",6,"6"
"F800_3","Sinnvolle Tätigkeit und gesellschaftlicher Beitrag",7,"Sehr gut  7"
"F800_4","Gute Zusammenarbeit und Teamkultur",1,"Überhaupt nicht gut  1"
"F800_4","Gute Zusammenarbeit und Teamkultur",2,"2"
"F800_4","Gute Zusammenarbeit und Teamkultur",3,"3"
"F800_4","Gute Zusammenarbeit und Teamkultur",4,"4"
"F800_4","Gute Zusammenarbeit und Teamkultur",5,"5"
"F800_4","Gute Zusammenarbeit und Teamkultur",6,"6"
"F800_4","Gute Zusammenarbeit und Teamkultur",7,"Sehr gut  7"
"F800_5","Vereinbarkeit von Beruf und Privatleben",1,"Überhaupt nicht gut  1"
"F800_5","Vereinbarkeit von Beruf und Privatleben",2,"2"
"F800_5","Vereinbarkeit von Beruf und Privatleben",3,"3"
"F800_5","Vereinbarkeit von Beruf und Privatleben",4,"4"
"F800_5","Vereinbarkeit von Beruf und Privatleben",5,"5"
"F800_5","Vereinbarkeit von Beruf und Privatleben",6,"6"
"F800_5","Vereinbarkeit von Beruf und Privatleben",7,"Sehr gut  7"
"F800_6","Moderne Arbeitsumgebung und Technologien",1,"Überhaupt nicht gut  1"
"F800_6","Moderne Arbeitsumgebung und Technologien",2,"2"
"F800_6","Moderne Arbeitsumgebung und Technologien",3,"3"
"F800_6","Moderne Arbeitsumgebung und Technologien",4,"4"
"F800_6","Moderne Arbeitsumgebung und Technologien",5,"5"
"F800_6","Moderne Arbeitsumgebung und Technologien",6,"6"
"F800_6","Moderne Arbeitsumgebung und Technologien",7,"Sehr gut  7"
"F800_7","Attraktive Vergütung und Zusatzleistungen",1,"Überhaupt nicht gut  1"
"F800_7","Attraktive Vergütung und Zusatzleistungen",2,"2"
"F800_7","Attraktive Vergütung und Zusatzleistungen",3,"3"
"F800_7","Attraktive Vergütung und Zusatzleistungen",4,"4"
"F800_7","Attraktive Vergütung und Zusatzleistungen",5,"5"
"F800_7","Attraktive Vergütung und Zusatzleistungen",6,"6"
"F800_7","Attraktive Vergütung und Zusatzleistungen",7,"Sehr gut  7"
"F800_8","Gute Führung und wertschätzende Unternehmenskultur",1,"Überhaupt nicht gut  1"
"F800_8","Gute Führung und wertschätzende Unternehmenskultur",2,"2"
"F800_8","Gute Führung und wertschätzende Unternehmenskultur",3,"3"
"F800_8","Gute Führung und wertschätzende Unternehmenskultur",4,"4"
"F800_8","Gute Führung und wertschätzende Unternehmenskultur",5,"5"
"F800_8","Gute Führung und wertschätzende Unternehmenskultur",6,"6"
"F800_8","Gute Führung und wertschätzende Unternehmenskultur",7,"Sehr gut  7"
"F800_9","Verantwortung und Gestaltungsspielraum",1,"Überhaupt nicht gut  1"
"F800_9","Verantwortung und Gestaltungsspielraum",2,"2"
"F800_9","Verantwortung und Gestaltungsspielraum",3,"3"
"F800_9","Verantwortung und Gestaltungsspielraum",4,"4"
"F800_9","Verantwortung und Gestaltungsspielraum",5,"5"
"F800_9","Verantwortung und Gestaltungsspielraum",6,"6"
"F800_9","Verantwortung und Gestaltungsspielraum",7,"Sehr gut  7"
"F800_10","Zukunftsorientierung und Nachhaltigkeit des Unternehmens",1,"Überhaupt nicht gut  1"
"F800_10","Zukunftsorientierung und Nachhaltigkeit des Unternehmens",2,"2"
"F800_10","Zukunftsorientierung und Nachhaltigkeit des Unternehmens",3,"3"
"F800_10","Zukunftsorientierung und Nachhaltigkeit des Unternehmens",4,"4"
"F800_10","Zukunftsorientierung und Nachhaltigkeit des Unternehmens",5,"5"
"F800_10","Zukunftsorientierung und Nachhaltigkeit des Unternehmens",6,"6"
"F800_10","Zukunftsorientierung und Nachhaltigkeit des Unternehmens",7,"Sehr gut  7"
"F800_11","Internationales Arbeitsumfeld und kulturelle Vielfalt",1,"Überhaupt nicht gut  1"
"F800_11","Internationales Arbeitsumfeld und kulturelle Vielfalt",2,"2"
"F800_11","Internationales Arbeitsumfeld und kulturelle Vielfalt",3,"3"
"F800_11","Internationales Arbeitsumfeld und kulturelle Vielfalt",4,"4"
"F800_11","Internationales Arbeitsumfeld und kulturelle Vielfalt",5,"5"
"F800_11","Internationales Arbeitsumfeld und kulturelle Vielfalt",6,"6"
"F800_11","Internationales Arbeitsumfeld und kulturelle Vielfalt",7,"Sehr gut  7"
"F800_12","Innovationskultur und Veränderungsbereitschaft des Unternehmens",1,"Überhaupt nicht gut  1"
"F800_12","Innovationskultur und Veränderungsbereitschaft des Unternehmens",2,"2"
"F800_12","Innovationskultur und Veränderungsbereitschaft des Unternehmens",3,"3"
"F800_12","Innovationskultur und Veränderungsbereitschaft des Unternehmens",4,"4"
"F800_12","Innovationskultur und Veränderungsbereitschaft des Unternehmens",5,"5"
"F800_12","Innovationskultur und Veränderungsbereitschaft des Unternehmens",6,"6"
"F800_12","Innovationskultur und Veränderungsbereitschaft des Unternehmens",7,"Sehr gut  7"
"F800_13","Arbeitszeit- und Arbeitsortflexibilität",1,"Überhaupt nicht gut  1"
"F800_13","Arbeitszeit- und Arbeitsortflexibilität",2,"2"
"F800_13","Arbeitszeit- und Arbeitsortflexibilität",3,"3"
"F800_13","Arbeitszeit- und Arbeitsortflexibilität",4,"4"
"F800_13","Arbeitszeit- und Arbeitsortflexibilität",5,"5"
"F800_13","Arbeitszeit- und Arbeitsortflexibilität",6,"6"
"F800_13","Arbeitszeit- und Arbeitsortflexibilität",7,"Sehr gut  7"
"F800_14","Diversität, Gleichstellung und Inklusion",1,"Überhaupt nicht gut  1"
"F800_14","Diversität, Gleichstellung und Inklusion",2,"2"
"F800_14","Diversität, Gleichstellung und Inklusion",3,"3"
"F800_14","Diversität, Gleichstellung und Inklusion",4,"4"
"F800_14","Diversität, Gleichstellung und Inklusion",5,"5"
"F800_14","Diversität, Gleichstellung und Inklusion",6,"6"
"F800_14","Diversität, Gleichstellung und Inklusion",7,"Sehr gut  7"
